"§ø¨½¥N½X","¿¤¥«¥N½X.x","¿¤¥«¦WºÙ.x","¶mÂí¥«°Ï¥N½X.x","¶mÂí¥«°Ï¦WºÙ.x","§ø¨½¦WºÙ.x","X104§ß¾i¤ñ","X104§ß¥®¤ñ","X104§ß¦Ñ¤ñ","X104¦Ñ¤Æ«ü¼Æ","X104§ß¨à¤ñ","X105§ß¾i¤ñ","X105§ß¥®¤ñ","X105§ß¦Ñ¤ñ","X105¦Ñ¤Æ«ü¼Æ","X105§ß¨à¤ñ","X106§ß¾i¤ñ","X106§ß¥®¤ñ","X106§ß¦Ñ¤ñ","X106¦Ñ¤Æ«ü¼Æ","X106§ß¨à¤ñ","X107§ß¾i¤ñ","X107§ß¥®¤ñ","X107§ß¦Ñ¤ñ","X107¦Ñ¤Æ«ü¼Æ","X107§ß¨à¤ñ","X108§ß¾i¤ñ","X108§ß¥®¤ñ","X108§ß¦Ñ¤ñ","X108¦Ñ¤Æ«ü¼Æ","X108§ß¨à¤ñ","X109§ß¾i¤ñ","X109§ß¥®¤ñ","X109§ß¦Ñ¤ñ","X109¦Ñ¤Æ«ü¼Æ","X109§ß¨à¤ñ","110§ß¾i¤ñ","110§ß¥®¤ñ","110§ß¦Ñ¤ñ","110¦Ñ¤Æ«ü¼Æ","110§ß¨à¤ñ"
"09007020-002",9007,"³s¦¿¿¤",9007020,"¥_¬ñ¶m","¦Z¨U§ø",38.97,16.91,22.06,130.43,8.08823529411765,39.39,15.91,23.48,147.62,8.33333333333333,45.8,18.32,27.48,150,9.16030534351145,40.41,13.7,26.71,195,7.53424657534247,41.33,14.67,26.67,181.82,9.33333333333333,42.902,13.895,29.015,206.022,8.9972235720598,43.476,13.226,30.26,221.038,9.16633450410385
"09007020-003",9007,"³s¦¿¿¤",9007020,"¥_¬ñ¶m","¾ô¥J§ø",29.89,14.02,15.87,113.16,7.74907749077491,31.05,14.44,16.61,115,7.5812274368231,30.66,14.63,16.03,109.52,7.31707317073171,30.77,14.38,16.39,113.95,6.68896321070234,30.48,13.65,16.83,123.26,6.66666666666667,30.84,13.984,16.856,120.723,6.28347583283857,30.93,13.904,17.026,122.638,5.97776724540484
"09007020-004",9007,"³s¦¿¿¤",9007020,"¥_¬ñ¶m","ªà¾À§ø",23.9,8.81,15.09,171.43,5.0314465408805,26.92,10.26,16.67,162.5,3.84615384615385,26.54,10.49,16.05,152.94,4.93827160493827,29.94,10.78,19.16,177.78,4.79041916167665,30,9.41,20.59,218.75,5.29411764705882,32.026,10.466,21.559,209.656,5.22096401850545,33.548,10.638,22.908,220.648,5.3679247712934
"09007020-005",9007,"³s¦¿¿¤",9007020,"¥_¬ñ¶m","?¨½§ø",23.57,11.03,12.55,113.79,4.18250950570342,26.79,11.7,15.09,129.03,6.0377358490566,31.76,14.51,17.25,118.92,6.66666666666667,33.75,13.75,20,145.45,5.41666666666667,30.07,13.18,16.89,128.21,5.06756756756757,35.176,14.739,20.433,140.658,5.81894333353369,37.1720000000001,15.374,21.792,145.184,5.93384802766753
"09007020-006",9007,"³s¦¿¿¤",9007020,"¥_¬ñ¶m","¥Õ¨F§ø",31.82,19.09,12.73,66.67,10,29.06,12.82,16.24,126.67,8.54700854700855,28.32,11.5,16.81,146.15,7.07964601769912,30.17,13.79,16.38,118.75,9.48275862068965,35.19,14.81,20.37,137.5,9.25925925925926,33.267,12.125,21.132,159.27,8.71001506659121,34.052,11.366,22.674,172.644,8.65544192581117
"09007030-001",9007,"³s¦¿¿¤",9007030,"²÷¥ú¶m","«C¦|§ø",21.43,10.32,11.11,107.69,5.82010582010582,23.66,10.48,13.17,125.64,6.45161290322581,21.21,8.84,12.37,140,5.55555555555556,24.74,10.42,14.32,137.5,6.51041666666667,26.84,9.89,16.95,171.43,6.21468926553672,27.146,9.714,17.433,178.254,6.36486723850892,28.336,9.622,18.716,192.188,6.44966430393918
"09007030-002",9007,"³s¦¿¿¤",9007030,"²÷¥ú¶m","¥Ð¨U§ø",26.97,15.17,11.8,77.78,7.86516853932584,31.29,16.56,14.72,88.89,9.20245398773006,27.22,13.61,13.61,100,8.28402366863905,26.63,12.43,14.2,114.29,6.50887573964497,33.75,17.5,16.25,92.86,8.75,31.842,15.213,16.63,111.432,7.84492978904695,32.732,15.266,17.468,116.988,7.75253825637327
"09007030-003",9007,"³s¦¿¿¤",9007030,"²÷¥ú¶m","¦èËú§ø",40,16.36,23.64,144.44,5.45454545454545,33.9,11.86,22.03,185.71,8.47457627118644,30,3.33,26.67,800,3.33333333333333,38.46,1.92,36.54,1900,1.92307692307692,48.89,4.44,44.44,1000,2.22222222222222,44.9520000000001,-2.55200000000008,47.4970000000002,1833.65300000001,0.376707097046051,47.1860000000001,-5.93000000000012,53.1080000000002,2176.194,-0.924907484229578
"09007030-004",9007,"³s¦¿¿¤",9007030,"²÷¥ú¶m","ºÖ¥¿§ø",25.94,8.49,17.45,205.56,4.71698113207547,26.24,9.5,16.74,176.19,4.97737556561086,28.05,10.41,17.65,169.57,5.42986425339367,30.66,10.38,20.28,195.45,3.77358490566038,34.83,9.95,24.88,250,3.98009950248756,35.804,10.886,24.92,231.796,3.77231489610769,38.024,11.266,26.76,242.61,3.50455950419506
"09007030-005",9007,"³s¦¿¿¤",9007030,"²÷¥ú¶m","¤j©W§ø",27.46,10.33,17.13,165.85,5.54156171284635,26.79,10.53,16.27,154.55,5.26315789473684,26.22,9.11,17.11,187.8,4.22222222222222,25.76,8.3,17.47,210.53,4.14847161572052,27.53,9.18,18.35,200,5.17647058823529,26.485,8.13099999999999,18.358,221.03,4.31691624828072,26.396,7.67799999999998,18.722,233.458,4.13242939545687
"09007040-001",9007,"³s¦¿¿¤",9007040,"ªF¤Þ¶m","¤¤¬h§ø",28.57,17.19,11.38,66.23,6.69642857142857,30.82,19.4,11.42,58.89,8.18965517241379,29.33,18.5,10.83,58.51,9.05511811023622,31.17,18.83,12.35,65.59,9.91902834008097,32.64,18.8,13.84,73.63,9.71074380165289,33.053,19.339,13.719,71.0200000000001,11.0415958875972,33.902,19.604,14.304,73.1700000000001,11.8173962504088
"09007040-002",9007,"³s¦¿¿¤",9007040,"ªF¤Þ¶m","¼ÖµØ§ø",22.4,15.34,7.05,45.98,9.34744268077601,23.67,15.72,7.95,50.56,9.18727915194346,24.11,15.54,8.57,55.17,8.75,24.91,15.66,9.25,59.09,8.71886120996441,25.22,15.7,9.52,60.67,9.1710758377425,26.126,15.79,10.34,65.667,8.78858628767145,26.814,15.856,10.964,69.4580000000001,8.70647112486684
"09020010-001",9020,"ª÷ªù¿¤",9020010,"ª÷«°Âí","ªFªù¨½",29.89,16.43,13.46,81.94,10.0247246572263,30.1,16.2,13.9,85.81,9.73833902161547,30.17,15.58,14.59,93.61,9.77154489934404,30.62,14.9,15.71,105.44,9.32012606933814,32.45,14.52,17.93,123.44,9.24252953439889,32.338,13.99,18.343,128.837,9.02467187700492,32.902,13.478,19.418,139.1,8.82641155721171
"09020010-002",9020,"ª÷ªù¿¤",9020010,"ª÷«°Âí","¦èªù¨½",30.19,16.79,13.41,79.85,9.9205448354143,30.75,16.05,14.69,91.54,9.53305171823268,31.98,16.06,15.92,99.15,9.51186131386861,32.3,15.4,16.9,109.71,9.38686299321293,33.87,15.5,18.37,118.48,9.83142756100436,34.491,14.991,19.497,128.375,9.53942270219469,35.382,14.668,20.71,137.918,9.50698037481073
"09020010-003",9020,"ª÷ªù¿¤",9020010,"ª÷«°Âí","«nªù¨½",30.57,15.58,14.99,96.2,9.02748414376321,30.66,15.14,15.52,102.48,8.7719298245614,32.27,15.38,16.89,109.81,8.82229673093043,33.23,15.01,18.22,121.41,8.98520084566596,35.47,15.01,20.46,136.32,9.51346655082537,36.151,14.843,21.308,142.995,9.37964636971794,37.388,14.716,22.672,152.912,9.49816995324083
"09020010-004",9020,"ª÷ªù¿¤",9020010,"ª÷«°Âí","¥_ªù¨½",30.01,15.76,14.26,90.5,9.33333333333333,30.45,15.16,15.29,100.89,8.89370932754881,30.1,13.72,16.38,119.33,8.25663237682729,31.45,13.23,18.21,137.63,8.39395635142697,33.61,13.52,20.09,148.62,8.38117106773823,33.584,12.355,21.22,165.288,7.93053723918131,34.404,11.714,22.678,180.586,7.69012948845011
"09020010-005",9020,"ª÷ªù¿¤",9020010,"ª÷«°Âí","¥j«°¨½",28.96,14.32,14.64,102.25,7.48145759432441,28.99,14.17,14.82,104.61,7.73772529521442,29.15,13.52,15.63,115.54,8.01096558026196,28.5,12.03,16.47,136.88,7.35556879094699,29.38,11.28,18.1,160.42,7.2855464159812,29.101,10.598,18.503,168.523,7.34205907705963,29.136,9.77599999999998,19.36,183.384,7.26466119096425
"09020010-006",9020,"ª÷ªù¿¤",9020010,"ª÷«°Âí","ª÷¤ô¨½",25.04,9.96,15.08,151.43,4.89470688673876,24.09,9.13,14.96,163.8,4.53781512605042,25.33,9.34,15.99,171.18,5,26.1,8.59,17.51,203.75,4.1890440386681,27.67,8.84,18.84,213.17,4.65608465608466,27.827,8.33799999999999,19.497,229.695,4.40772547690123,28.554,8.05999999999999,20.504,246.038,4.32512392203218
"09020010-007",9020,"ª÷ªù¿¤",9020010,"ª÷«°Âí","¯]¨F¨½",25.71,9.48,16.23,171.18,5.75569358178054,26.56,9.88,16.68,168.88,6.14754098360656,27.49,9.92,17.57,177.02,6.1624649859944,28.46,10.23,18.23,178.17,6.49614291514413,29.73,9.65,20.08,208.09,6.07802874743327,30.572,10.039,20.533,205.601,6.42595592164469,31.566,10.108,21.458,213.912,6.52528314792899
"09020010-008",9020,"ª÷ªù¿¤",9020010,"ª÷«°Âí","½å±g¨½",24.75,12.15,12.6,103.77,6.75984752223634,25.62,12.1,13.52,111.75,6.83632734530938,26.77,11.98,14.79,123.51,6.9399851815263,26.99,11.17,15.82,141.58,6.84429234905891,28.16,10.98,17.18,156.48,7.04633204633205,28.915,10.695,18.22,167.993,7.05963710447488,29.734,10.368,19.366,181.518,7.11773050966898
"09020020-001",9020,"ª÷ªù¿¤",9020020,"ª÷¨FÂí","¨Z¨F¨½",30.29,14.56,15.73,108.06,8.21067157313707,30.93,14.06,16.87,119.93,7.76654411764706,31.92,14.18,17.74,125.04,7.8551912568306,32.33,13.8,18.53,134.32,8.04259175351155,33.8,13.43,20.37,151.63,8.36405529953917,34.38,13.25,21.13,158.255,8.2226553267337,35.222,12.998,22.224,168.408,8.28093683560057
"09020020-002",9020,"ª÷ªù¿¤",9020020,"ª÷¨FÂí","¤T¤s¨½",29.61,9.72,19.89,204.58,5.78144853875477,29.13,8.65,20.48,236.76,5.34351145038168,28.94,8.2,20.74,253.08,4.98108448928121,28.23,7.03,21.21,301.77,4.47761194029851,29.68,7.08,22.6,319.13,4.1256157635468,28.89,6.066,22.829,351.297,3.68858491830285,28.814,5.37599999999999,23.444,380.708000000001,3.27082841225294
"09020020-003",9020,"ª÷ªù¿¤",9020020,"ª÷¨FÂí","¤j¬v¨½",30.63,12.4,18.23,147.06,7.29166666666667,29.21,11.04,18.16,164.49,6.39834881320949,29.3,10.66,18.65,175,6.86475409836066,30.52,10.52,20,190.2,6.90721649484536,30.45,9.88,20.58,208.33,5.96707818930041,30.307,9.23199999999999,21.086,221.491,6.04372007054752,30.402,8.67599999999998,21.74,236.316,5.82968914323785
"09020020-004",9020,"ª÷ªù¿¤",9020020,"ª÷¨FÂí","¥ú«e¨½",25.5,12.51,13,103.94,6.9423929098966,25.6,11.99,13.6,113.41,6.58215504631887,25.36,10.49,14.87,141.74,5.96727622714148,24.75,9.61,15.14,157.64,5.82110743019404,25.66,8.8,16.87,191.76,5.26824552924118,25.215,7.73999999999997,17.48,207.659000000001,4.88343271532773,25.162,6.75999999999996,18.408,229.646000000001,4.47249847758416
"09020020-005",9020,"ª÷ªù¿¤",9020020,"ª÷¨FÂí","¦ó¤æ¨½",29.32,12.93,16.4,126.85,7.18132854578097,29.12,11.87,17.25,145.27,6.85174246898996,28.27,10.51,17.76,168.89,6.07476635514019,28.36,9.45,18.9,200,5.24495677233429,28.58,8.72,19.86,227.81,4.96535796766744,28.058,7.444,20.605,250.759,4.25201236611775,27.834,6.36,21.462,276.424,3.64813968082947
"09020020-006",9020,"ª÷ªù¿¤",9020020,"ª÷¨FÂí","¦è¶é¨½",27.54,9.28,18.25,196.61,4.5633359559402,29.01,8.77,20.25,230.97,4.11171450737005,30.99,8.85,22.13,250,4.82213438735178,32.19,9.2,22.99,250,4.75448168355417,31.65,8.26,23.39,283.33,4.28134556574923,33.696,8.389,25.308,299.923,4.53023833873374,34.836,8.228,26.61,319.170000000001,4.53811697831396
"09020020-007",9020,"ª÷ªù¿¤",9020020,"ª÷¨FÂí","©xÀ¬¨½",30.54,10.16,20.38,200.56,5.25114155251141,30.8,10.34,20.46,197.83,5.45250140528387,30.81,10.33,20.49,198.4,6.0187741579238,31.91,9.72,22.19,228.25,5.87589236683141,32.67,9.75,22.92,235.03,6.17079889807163,32.957,9.62799999999999,23.331,241.822,6.43263337192482,33.494,9.48399999999999,24.012,251.758,6.65890393719162
"09020020-008",9020,"ª÷ªù¿¤",9020020,"ª÷¨FÂí","®ú¤s¨½",31.5,14.97,16.53,110.42,9.14760914760915,31.3,14.1,17.2,122.02,8.34605597964376,30.94,13.71,17.23,125.64,8.4379708689101,29.72,12.27,17.45,142.23,7.91788856304985,30.91,12.09,18.82,155.69,7.81326781326781,30.046,11.151,18.895,164.425,7.40350344891315,29.77,10.392,19.378,175.5,7.09381844038549
"09020030-001",9020,"ª÷ªù¿¤",9020030,"ª÷´òÂí","·s¥«¨½",32.39,16.18,16.21,100.17,8.87270765911543,32.33,15.42,16.91,109.68,8.49619978284473,32.2,14.96,17.24,115.2,8.57769251849822,32.66,14.25,18.4,129.1,8.46325167037862,33.11,13.35,19.76,147.97,8.14984272233343,33.069,12.783,20.281,154.93,8.06833547482505,33.246,12.1,21.14,166.432,7.92046767622204
"09020030-002",9020,"ª÷ªù¿¤",9020030,"ª÷´òÂí","¤s¥~¨½",29.56,16.21,13.34,82.32,8.3617747440273,30.41,15.64,14.77,94.46,8.39112343966713,32.17,15.74,16.43,104.42,8.87883008356546,32.94,15.35,17.59,114.58,8.53146853146853,32.5,14.47,18.02,124.52,8.38552540013918,34.039,14.351,19.684,135.416,8.56609836098107,34.88,13.974,20.902,145.868,8.58488300138358
"09020030-003",9020,"ª÷ªù¿¤",9020030,"ª÷´òÂí","¥¿¸q¨½",25.76,10.36,15.4,148.65,6.25291647223518,26.72,10.4,16.32,156.83,6.46196150320807,26.78,10.93,15.85,144.94,6.4630367419212,28.26,11.03,17.23,156.13,6.4544265154819,28.29,10.14,18.15,179.06,5.89254766031196,29.142,10.629,18.513,175.158,6.08649599515988,29.802,10.648,19.154,181.17,6.01366873400261
"09020030-004",9020,"ª÷ªù¿¤",9020030,"ª÷´òÂí","®ÆÃ¹¨½",24.91,10.06,14.84,147.5,5.28301886792453,25.24,10.1,15.14,150,4.86935866983373,24.94,10.06,14.89,148.02,5,23.59,8.8,14.78,167.92,4.37430786267996,24.48,9.3,15.18,163.16,4.62459194776931,23.879,8.81799999999999,15.062,170.092,4.28668407540224,23.628,8.53599999999999,15.094,175.016,4.10549361065582
"09020030-005",9020,"ª÷ªù¿¤",9020030,"ª÷´òÂí","Ã£ªL¨½",32.27,14.58,17.69,121.37,7.92307692307692,33.66,14.97,18.69,124.87,8.32066869300912,35.24,15.25,19.98,131.03,8.9030803906837,34.9,14.55,20.35,139.9,8.59375,35.63,14.22,21.41,150.53,8.99172310007524,36.728,14.372,22.354,155.545,9.26957191966525,37.524,14.258,23.264,162.88,9.51060928576401
"09020030-006",9020,"ª÷ªù¿¤",9020030,"ª÷´òÂí","·s´ò¨½",25.39,15.93,9.46,59.4,8.64690523729074,25.47,15.41,10.06,65.3,8.40361445783133,25.97,15.11,10.87,71.93,8.84761626206493,26.46,14.85,11.61,78.22,8.78672852523549,27.66,15.04,12.62,83.87,8.88645090510148,27.849,14.566,13.285,90.3020000000001,8.97292469841249,28.402,14.332,14.072,96.4880000000002,9.05914523871505
"09020030-007",9020,"ª÷ªù¿¤",9020030,"ª÷´òÂí","·Ë´ò¨½",29.35,12.9,16.44,127.44,7.78914240755311,28.08,11.78,16.3,138.31,6.96250956388676,28.27,10.43,17.84,171.01,6.57596371882086,28.74,9.89,18.85,190.7,6.51340996168582,29.25,9.11,20.14,221.01,5.2833078101072,28.876,7.98099999999999,20.899,241.553,4.9866360532829,28.922,7.03399999999999,21.894,265.506000000001,4.44055917357363
"09020030-008",9020,"ª÷ªù¿¤",9020030,"ª÷´òÂí","½¬±g¨½",27.91,12.22,15.69,128.4,6.14605929139552,28.39,11.91,16.48,138.32,5.99144079885877,29.93,12.21,17.71,145.03,6.42857142857143,29.55,11.49,18.06,157.14,5.78158458244111,30.96,11.42,19.53,170.99,6.41748942172073,31.526,11.244,20.272,179.176,6.25293031786734,32.252,11.042,21.198,189.576,6.28623072229062
"09020040-001",9020,"ª÷ªù¿¤",9020040,"ª÷¹ç¶m","¥j¹ç§ø",31.04,10.5,20.54,195.68,5.85347432024169,31.39,10.18,21.21,208.39,5.83209509658247,30.92,9.83,21.09,214.5,5.51900584795322,29.77,8.59,21.18,246.67,5.1520572450805,30.27,8.29,21.97,264.94,4.81149012567325,29.73,7.675,22.047,279.076000000001,4.60442265491456,29.414,7.07399999999998,22.33,296.756000000001,4.32802203085068
"09020040-002",9020,"ª÷ªù¿¤",9020040,"ª÷¹ç¶m","¦w¬ü§ø",28.82,14.01,14.82,105.81,8.25147347740668,27.95,12.91,15.03,116.46,7.58472296933835,27.72,12.32,15.4,125.05,7.36514522821577,26.17,11.19,14.97,133.77,6.40648011782032,26.7,11.14,15.56,139.7,6.59886471144749,25.666,10.076,15.582,149.685,5.8962991858148,25.064,9.33,15.724,158.194,5.44795314747115
"09020040-003",9020,"ª÷ªù¿¤",9020040,"ª÷¹ç¶m","¦Z½L§ø",30.88,12.37,18.51,149.67,7.37100737100737,31.52,12.48,19.04,152.53,7.10900473933649,29.85,11.31,18.54,163.95,6.69230769230769,29.88,11.1,18.78,169.13,6.78092399403875,33.01,12.07,20.94,173.46,7.60059612518629,31.814,11.272,20.542,181.002,7.15009701329335,32.076,11.074,21.002,187.42,7.16320668959936
"09020040-004",9020,"ª÷ªù¿¤",9020040,"ª÷¹ç¶m","´ò®H§ø",24.38,13.24,11.15,84.19,6.71182266009852,24.78,13.09,11.69,89.29,6.74069744788623,20.94,10.96,9.98,91.07,5.87172538392051,21.2,10.88,10.32,94.87,5.77092511013216,22.62,11.31,11.31,100,6.23282718727404,20.654,10.075,10.575,103.044,5.68727057284138,19.944,9.46799999999999,10.47,106.764,5.49449424450108
"09020040-005",9020,"ª÷ªù¿¤",9020040,"ª÷¹ç¶m","º]ªL§ø",25.61,12.62,12.99,102.97,6.83680636853196,26.67,12.74,13.92,109.29,6.96245733788396,27.17,12.17,15,123.22,6.98709390298175,27.3,11.87,15.43,130.04,6.91304347826087,28.76,11.9,16.86,141.65,6.72635946713256,29.181,11.567,17.615,150.867,6.80405981223165,29.874,11.336,18.54,160.678,6.77702904598946
"09020040-006",9020,"ª÷ªù¿¤",9020040,"ª÷¹ç¶m","½L¤s§ø",14.66,7.89,6.78,85.93,4.43852640923214,15.65,8.25,7.4,89.76,4.54024634775136,20.31,10.31,10,96.95,5.60111673355435,21.7,11.02,10.68,96.91,6.30216317492761,22.85,11.14,11.71,105.07,6.47039254823686,25.763,12.503,13.256,108.553,7.21818377429617,28.006,13.43,14.57,113.096,7.80074868481475
"09020050-001",9020,"ª÷ªù¿¤",9020050,"¯PÀ¬¶m","¤W§Á§ø",29.3,10.51,18.79,178.69,4.78242137009909,29.97,10.92,19.06,174.62,5.03778337531486,29.91,9.98,19.93,199.58,5.11647254575707,29.45,9.07,20.38,224.66,4.84672742336371,29.69,8.07,21.61,267.71,4.83599663582843,29.742,7.691,22.042,277.476000000001,4.89870864392489,29.768,7.018,22.738,300.284000000001,4.89031810187564
"09020050-002",9020,"ª÷ªù¿¤",9020050,"¯PÀ¬¶m","¤WªL§ø",30.29,12.22,18.07,147.89,5.93803786574871,29.32,11.19,18.14,162.12,5.67796610169492,27.76,9.31,18.45,198.21,4.90440565253533,27.16,8.33,18.84,226.21,4.2037186742118,27.87,7.2,20.68,287.36,3.72208436724566,26.38,5.77999999999997,20.612,307.267000000001,3.1173962049405,25.68,4.48999999999998,21.204,341.570000000001,2.52678076249158
"09020050-003",9020,"ª÷ªù¿¤",9020050,"¯PÀ¬¶m","¦è¤f§ø",25.76,9.76,16,163.82,4.51422963689892,26.09,9.82,16.27,165.67,4.6409379579873,26.65,9.18,17.47,190.43,4.97803806734993,26.31,8.43,17.87,211.93,5.22280785816962,27.72,8.5,19.22,226.29,5.04854368932039,27.748,7.965,19.778,242.988,5.37606084345281,28.162,7.57399999999999,20.582,260.108,5.54111064395534
"09020050-004",9020,"ª÷ªù¿¤",9020050,"¯PÀ¬¶m","ªL´ò§ø",27.69,12.36,15.33,124.02,5.45580110497238,28.2,12.23,15.97,130.57,5.59049615653389,28.22,11.39,16.83,147.73,5.81555402615279,27.2,10.51,16.7,158.9,5.81434886093166,28.25,10.31,17.93,173.83,6.23052959501558,27.948,9.614,18.331,185.395,6.31333885406652,27.96,9.032,18.924,198.19,6.49066982251493
"09020050-005",9020,"ª÷ªù¿¤",9020050,"¯PÀ¬¶m","¶À®H§ø",26.82,10.91,15.91,145.83,5.68181818181818,26.28,9.9,16.38,165.41,5.06329113924051,24.75,8.42,16.33,193.97,5.22496371552975,24.72,7.96,16.76,210.53,4.95810055865922,26.45,8.16,18.3,224.35,5.24822695035461,25.114,6.83799999999999,18.284,248.666,4.94356819606792,24.884,6.09399999999999,18.8,268.882000000001,4.84633089171708
